acousticness,liveness,speechiness,tempo,key,valence,loudness,instrumentalness,duration_ms,time_signature,danceability,energy,title,popularity
0.8,0.111,0.0304,130.71,9,0.783,-12.821,0.899,323667,4,0.713,0.59,Bees,0
0.0263,0.0941,0.052,111.677,5,0.827,-5.111,0.121,404417,4,0.577,0.919,O Nketsang,1
0.00046,0.0506,0.0374,132.029,2,0.46,-8.194,0.832,321713,4,0.711,0.927,Sizzling,0
0.00718,0.104,0.0378,114.988,2,0.0408,-10.973,0.904,337720,4,0.49,0.802,Saturnalia,14
0.866,0.164,0.0442,128.541,0,0.336,-8.145,0.868,183040,4,0.558,0.489,Firebird,33
0.581,0.149,0.0843,127.135,7,0.738,-7.869,0,153400,4,0.471,0.934,"Vem, É Lua",5
0.161,0.673,0.0315,129.0,9,0.838,-7.197,2.93e-05,281683,4,0.706,0.818,Can 2002,0
0.573,0.31,0.0297,160.624,2,0.619,-9.039,0.668,160307,4,0.57,0.678,Crayon,0
0.0407,0.237,0.0758,134.047,9,0.844,-6.917,0.00271,274547,4,0.709,0.781,DNT STP MY LV,19
0.936,0.329,0.0884,93.863,0,0.92,-11.596,0.104,228427,4,0.739,0.573,"Girl, I Can Feel Ya",3
0.00737,0.345,0.064,114.487,9,0.542,-5.63,0.822,502633,4,0.516,0.855,Maritime Tatami,16
0.243,0.111,0.0342,89.161,9,0.539,-17.283,0.292,390474,3,0.219,0.549,Sea Fluorescent,19
0.591,0.617,0.0549,107.389,0,0.707,-7.579,0.0449,255616,4,0.689,0.774,We Want to Play,12
0.00152,0.0682,0.0515,120.044,2,0.946,-15.422,0.554,342672,4,0.812,0.491,Face to Face,33
0.711,0.115,0.29,93.35,10,0.824,-3.488,0,305354,4,0.598,0.785,Echo (feat. Nas),34
0.553,0.148,0.0387,89.789,4,0.238,-9.633,0.754,339616,4,0.5,0.571,Orbital,1
0.343,0.0751,0.0417,100.146,10,0.0491,-22.679,0.0019,359960,4,0.207,0.0947,Breathing Rain,0
0.699,0.36,0.051,85.617,10,0.293,-13.589,0.946,235853,4,0.378,0.825,Self-Regulation (II),0
0.0164,0.289,0.0779,172.473,11,0.485,-6.269,0.894,99030,4,0.714,0.332,Baby Cry,41
0.398,0.114,0.123,124.993,9,0.476,-11.468,0.887,371333,4,0.803,0.494,People Eating Fruit,0
0.468,0.0864,0.0581,155.001,7,0.975,-6.933,0.884,190453,4,0.821,0.838,Veliki Prekor,2
0.000932,0.152,0.0299,97.605,4,0.195,-13.274,0.0169,194645,4,0.455,0.499,I Love You,34
0.874,0.088,0.0414,131.825,9,0.281,-17.731,0.847,256013,4,0.683,0.199,China Camp,0
0.00597,0.118,0.0339,96.839,4,0.817,-12.618,0.00282,256333,4,0.681,0.61,May My Love Be with You,18
0.00184,0.424,0.0637,116.014,2,0.592,-7.801,0.00106,266954,4,0.815,0.663,"Yes, I Know",0
